	Prediction	Rewrite
674	Billy Hughes do to be a traitor?	What did Nationalist Party Prime Minister Billy Hughes do to be a traitor?
675	Billy Hughes did as a traitor in Labor histories?	what were some things Billy Hughes did as Prime Minister?
676	Billy Hughes's working-class Sydney seat?	what's some interesting thingsthat happened when Billy Hughes was the Nationalist Party Prime Minister?
677	a former Laborman to turn the wartime coalition into a formal party?	how did Sir Ronald Munro Ferguson persuade Billy Hughes to turn their wartime coalition into a formal party?
678	the song Real Love?	Who originally wrote Beatles song Real Love?
679	the song Real Love by Lennon written?	Where was the Beatles song Real Love written?
680	"the Beatles originally respond to the ""Real Love"" song?"	How did the rest of the Beatles originally respond to the Lennon's song Real Love?
681	besides Lennon?	Did anyone else play on the early version of the Real Love besides Lennon?
682	the Beatles broken up when Real Love was written by John Lennon?	Were the Beatles broken up when Real Love was written by John Lennon?
683	Karisma Kapoor's Sabbatical work in 2003?	What happened to Karisma Kapoor in 2003?
684	Karisma Kapoor work in 2004?	Did Karisma Kapoor work in 2004?
685	Karisma Kapoor do after the serial ended in 2004?	What did Karisma Kapoor do next?
686	Karisma Kapoor was shot in Mere Jeevan Saathi?	What work of Karisma Kapoor followed 2006?
687	Karisma Kapoor win any other awards besides the Koffee Award for Best Supporting Appearance?	Did Karisma Kapoor win any other awards, besides the Koffee Award?
688	Karisma Kapoor films or recognition since 2003?	Besides the Koffee Award, what other films or recognition has Karisma Kapoor recieved, since then?
689	Karisma Kapoor do later after Vikram Bhatt's supernatural thriller Dangerous Ish Duggal?	What work did Karisma Kapoor do later than 2007?
690	Karisma Kapoor's special appearance in Bombay Talkies?	What is interesting about Karisma Kappor's career?
691	Karisma Kapoor's best efforts in varied dialects?	Anything notable about Karisma Kspoor's life?
692	Karisma Kapoor's special role of a grandmother and granddaughter?	What do you find interesting about the Karisma Kapoor article?
693	Maasai people's influence from the outside world is the article pertaining to?	What kind of influences from the outside world is the article about the Maasai people pertaining to?
694	a positive thing for Maasai people or negative?	Has maintaining a traditional pastoral lifestyle been a positive thing for the Maasai or negative?
695	Maasai pastoralists have?	What problems are the Maasai people having?
696	Maasai pastoralists were causing?	Besides that policy makers in 1951 removed all Maasai from the Serengeti National Park, are there any other interesting aspects about this article?
697	Maasai's cattle populations to disease, and incursion of settlements and farms?	What kind of lifestyle do the Maasai people have?
698	Maasai people doing to prevent bad influences from the outside world?	What have the Maasai people done to prevent bad influences from the outside world?
699	relegate Maasai to areas in and around the Ngorongoro Conservation Area?	Why would the Maasai prevent bad influences from the outside world?
700	Maasai's problems that would make the policy makers treat Maasai people so badly?	Are the Maasai causing problems that would make the policy makers treat them so badly?
701	Maasai people doing anything to try to help Maasai people to preserve their traditions?	Aside from the Maasai tribal leaders, is anyone doing anything to try to help the Maasai?
702	Maasai's problems have been encountered other than the plan for the outside world?	What other problems have the Maasai encountered, in addition to being moved from the Serengeti National Park and relegated to areas in and around the Ngorongoro Conservation Area?
703	Meat Loaf, The Rocky Horror Picture Show	What was Meat Loaf doing in rocky horror picture show?
704	Meat Loaf star in The Rocky Horror Picture Show	When did Meat Loaf star in the musical?
705	Meat Loaf play two parts in The Rocky Horror Picture Show?	Why did Meat Loaf play two parts in The Rocky Horror Show?
706	Meat Loaf's part in The Rocky Horror Picture Show?	What did the crowd think of Meat Loaf's part in The Rocky Horror Show?
707	Meat Loaf's part in The Rocky Horror Picture Show?	Are there any other interesting aspects about Meat Loaf besides The Rocky Horror Show?
708	Meat Loaf join the band?	Did Meat Loaf join Ted Nugent's band besides recording lead vocals?
709	Meat Loaf do after 1976?	What else did Meat Loaf do after 1976 aside from Ted Nugent?
710	Sheryl Crow in the early years?	What happened in Sheryl Crow's early years from 1987-1992?
711	Sheryl Crow had any producers in her younger years or was she alone?	Did Sheryl Crow have any producers in her younger years (1987-1992) or was she alone?
712	Sheryl Crow sing in any shows in her early years?	Did Sheryl Crow sing in any shows in her early years (1987-1992)?
713	Sheryl Crow win any awards in her early years?	Did Sheryl Crow win any awards in her early years (1987-1992)?
714	Sheryl Crow's other songs in the early years, besides Michael Jackson?	Aside from performing with Michael Jackson, what were some of Sheryl Crow's songs in the early years (1987-1992)?
715	"Sheryl Crow's song ""Heal Somebody"" during her early years?"	"Other than ""Heal Somebody"" and ""Hundreds of Tears"", can you name any other of Sheryl Crow's songs during the early years (1987-1992)?"
716	"Sheryl Crow's duet with Kenny Loggins on the track ""I Would Do Anything"" from his album Leap of Faith?"	What happened to Sheryl Crow in 1992?
717	"a duet with Kenny Loggins on the track ""I would do Anything"" that you can share?"	"In addition to graduating from the University of Missouri, working as a music teacher at the Kellison elementary school in Fenton, Missouri, record producer Jay Oliver, touring with Michael Jackson, awards, the song ""Heal Somebody"", the song ""Hundreds of Tears"", and the song ""I Would Do Anything"", is there anything else notable from the article about Sheryl Crow's early years from 1987-1992 that you can share?"
718	Nadia Comăneci the first gymnast to achieve?	What accomplishment was Nadia Comaneci the first gymnast to achieve?
719	Nadia Comaneci receive?	How many perfect 10.0's did Nadia Comaneci receive?
720	Nadia Comaneci earn the first perfect 10.0?	In what city did Nadia Comaneci earn the first perfect 10.0?
721	Nadia Comăneci score her first perfect 10.0?	What did the scoreboard read when Nadia Comaneci scored the first perfect 10.0?
722	The Thrills go on an extended break?	Why did The Thrills go on an extended break?
723	The Thrills stay on break?	How long did The Thrills stay on break?
724	The Thrills, Extended break and Teenager?	Aside from the ones already mentioned are there any other interesting aspects about this article?
725	The Thrills album Teenager?	What was special about the album Teenager?
726	The Thrills, Teenager have any hits at all?	Did the Thrill's album have any hits at all?
727	The Thrills, Extended break and Teenager?	Are there any other interesting aspects aside from what was already mentioned about this article?
728	The Thrills tour to support the album Teenager?	Did the Thrill tour to support the album?
729	Odissi, Sequence?	What is Sequence?
730	the invocation of the band Mangalacharana?	What is the Mangalacharana invocation?
731	the invocation of a God or Goddess?	What happens after Mangalacharana?
732	the Batu?	What is the Odissi Batu?
733	a fast pace, pure dance performed in the honor of Shiva.	What happens after the Odissi BAtu?
734	Nicole Richie appear on	What shows did Nicole Richie appear on?
735	The Simple Life about?	What was the show ''The Simple Life'' about?
736	The Simple Life popular?	Was the show ''The Simple Life'' popular?
737	The Simple Life have?	how many seasons did the show ''The Simple Life'' have?
738	Nicole Richie have any other shows other than The Simple Life?	In addition to ''The Simple Life'',did Nicole Richie have any other shows
739	Nicole Richie a main role in the show Kids in America?	was Nicole Richie a main role in the comedic drama ''Kids in America''?
740	Nicole Richie's show in the comedic drama Kids in America?	Along with ''Kids in America'' and ''The Simple Life'',what other shows did Nicole richie play?
741	Nicole Richie still acting	Is Nicole Richie still acting?
742	Nicole Richie's role in the NBC sitcom, Great News?	Besides the facts that NIcole Richie was part of ''The simple life'', ''Kids in America'',''Eve'',Six feet under American Dreams'',''8 Simple Rules for Dating My Teenage Daughter'' and ''Chuck'',is there anything thing else interesting?
743	the 1970s?	What films did Steve McQueen do in the 1970s?
744	McQueen work with?	What directors did Steve McQueen work with?
745	starring Steve McQueen and Dunaway?	are there any other interesting aspects about this article besides that Steve McQueen was in 1971 movie Le Mans?
746	based on true stories?	How were Steve McQueen's last two films received by critics?
747	Nick Cave and the Bad Seeds prior to Germany?	Where was Nick Cave and the Bad Seeds prior to Germany?
748	relocating to Germany and stylistic evolution?	When did Nick Cave and the Bad Seeds relocate?
749	relocating to West Berlin, Germany?	Other than Nick Cave and the Bad Seeds relocating to West Berlin, Germany, are there any other interesting aspects about this article?
750	The Firstborn Is Dead do?	How did Nick Cave and the Bad Seeds's album The Firstborn Is Dead do?
751	The Firstborn Is Dead when they relocated to germany?	What did Nick Cave and the Bad Seeds do when they relocated to germany?
752	The Firstborn Is Dead tour during 1985 to germany?	Did Nick Cave and the Bad Seeds tour during their 1986 album release?
753	the Bad Seeds have any hit singles?	did Nick Cave and the Bad Seeds have any hit singles?
754	The Mercy Seat released?	"when was Nick Cave and the Bad Seeds' single ""The Mercy Seat"" released?"
755	The Bad Seeds?	What are some of the early releases of the Nick Cave and the Bad Seeds band?
756	a success?	Was the Man Or Myth? solo project a success?
757	a success?	Aside from Man Or Myth?, what are other releases of the Nick Cave and the Bad Seeds band?
758	The Bad Seeds get started?	How did the Nick Cave and the Bad Seeds band get started?
759	forming the band from her to Eternity?	Who was part of the new The Birthday Party band project?
760	forming the band from her to Eternity?	Aside from the bands formation, are there any other interesting aspects about this article?
761	The Bad Seed developed in the band?	What disputes developed in the Nick Cave and the Bad Seeds band?
762	Mr. Bungle's disco volante begin?	How did the Disco Volante begin?
763	the disco Volante by Mr. Bungle perform commercially?	How did the Disco Volante perform commercially?
764	the album Disco Volante by Mr. Bungle?	What followed the Disco Volante album?
765	the highlight of the period in Mr. Bungle career?	What is the highlight of the world tour period (1995-1997) in Mr. Bungle's career?
766	M. Bungle's self-titled debut in 1990?	What was significant for the band Mr. Bungle in 1990?
767	m. Bungle's debut album released?	When was Mr. Bungle's debut album released?
768	the self-titled album by Mr. Bungle?	Are there any other interesting aspects about this article in addition to Mr Bungle's debut album release?
769	m. Bungle's debut album cover?	Who worked on the debut album cover for Mr Bungle's debut album?
770	Bernadette Peters first children's book?	When did Bernadette Peters write her first childrens book?
771	Bernadette Peters write?	How many books did Bernadette Peters write?
772	stella and Charlie friends forever about?	What is the book stella and charlie friends forever about?
773	stella and Charlie Friends Forever?	Besides Stella and Charlie Friends Forever, what other books did Bernadette Peters write?
774	Bernadette Peters a successful writer?	Is Bernadette Peters a successful writer?
775	the book Stella is a Star about?	What is the book Stella is a Star about?
776	"the book ""Stella Star"" released?"	When was Bernadette Peters' last book released?
777	stella and Charlie Friends Forever books?	Any interesting facts on Bernadette Peters' books?
778	Anthony Field born?	Where was Anthony Field born?
779	Anthony Field have any siblings?	Does Anthony Field have any siblings?
780	the name of Anthony Fields parents?	What was the name of Anthony Fields parents?
781	Anthony Field go to school?	Where did Anthony Field go to school?
782	boarding school St. Joseph's College when he was young?	Did Anthony Field create any musical groups when he was young?
783	the The Cockroaches become popular?	Did the Cockroaches become popular?
784	the Cockroaches ever make an album?	Did the Cockroaches ever make an album?
785	the one-off get together of The Box Tops?	When did the group One-Off join together?
786	The Box Tops to reunite?	What caused the group One-Off to reunite?
787	the group The Box Tops reunite?	Where did the group reunite?
788	the group The Box Tops sing after their reunion?	What song did One-Off sing after the reunion?
789	the group The Box Tops breakup after their reunion?	Why did One-Off breakup?
790	The Box Tops' reunion?	What were some of the groups successes after their reunion?
791	The Box Tops new successes in the United States after their reunion?	What were some of the groups new successes in the United States after their reunion?
792	The Box Tops win after their reunion in 1996?	Did One-Off win any awards after their reunion?
793	the health issues that Jeff Bagwell have to deal with?	What are some health issues that Jeff Bagwell have to deal with?
794	arthritic condition bother Jeff Bagwell really bad?	Did the chronic arthritic condition in the shoulder bother Jeff Bagwell really bad?
795	Jeff Bagwell ever return to play?	Did Jeff Bagwell ever return to play?
796	Jeff Bagwell have any other health issues or conditions other than the chronic arthritic condition?	Other thanthe chronic arthritic condition the shoulder, did Jeff Bagwell have any other health issues or conditions?
797	the Small Faces hiatus?	What did they do during Jones and McLagan's hiatus?
798	Jones and McLagan put any records out during their hiatus?	Did Jones and McLagan put any records out?
799	the new line-up's first step by Faces do?	How well did First Step by Small Faces do?
800	Small Faces have a second album?	Did Jones and McLagan have a second album?
801	the incarnation of the band Small Faces gain in popularity?	Did Faces gain in popularity?
802	the band Small Faces break up?	Why did Jones and McLagan break up?
803	the band Small Faces wind up getting back together?	*How did Jones and McLagan wind up getting back together?
804	the hiatus of Small Faces?	Besides singing did Jones and McLagando anything else of importance during the hiatus?
805	Humble Pie successful?	Was Humble Pie successful?
806	The Kingston Trio, 21st-century perspectives?	What is meant by the 21st-century together with kinston trio?
807	The Kingston Trio's song selection beyond the rearranged traditional numbers, calypso songs, and Broadway show tunes that had appeared on its first few albums?	What are some other important things to happen besides the time?
808	The Kingston Trio, It Was A Very Good Year in 1961, turn out after it was introduced?	How did it turn out after other than introduced?
809	The Kingston Trio, 21st-century perspectives?	Are there any other interesting aspects other than this article?
810	The Kingston Trio eventually get the credit that they deserve?	Did they eventually get the credit that besides deserve?
811	Joe McCarthy coach?	Who did Mccarthy coach?
812	mccarthy's coaching style like?	what was mccarthy's coaching style like?
813	Joe McCarthy respected as a coach?	was Mccarthy respected as a coach?
814	mccarthy have any troubles or conflicts?	Did McCarthy have any troubles or conflicts?
815	mccarthy's coaching style?	Besides McCarthy's low-key approach, what else was special about the coaching style?
816	the games did the Yankees and Red Sox win with Joe McCarthy?	how many games did Boston Braves win with McCarthy?
817	mccarthy's coaching style?	In addition to McCarthy's coaching style and his relationship with Babe Ruth,are there any other interesting aspects about this article?
818	"Joe McCarthy's ""Marse Joe"" by sportswriters?"	how did McCarthy react to being called ''Marse Joe'' by sportwriters?
819	Frank Sinatra die?	When did Frank Sinatra die?
820	Frank Sinatra pass away?	Where did Frank Sinatra pass away?
821	he died in Los Angeles?	How old was Frank Sinatra when he died?
822	82?	What caused Frank Sinatra's death?
823	a heart attack before leading up to Frank Sinatra's death?	Did Frank Sinatra have health issues previously leading up to Frank Sinatra's death?
824	John Ruskin's first Slade professor of fine art?	Who was Oxford's first slade professor of fine art?
825	John Ruskin appointed?	When was John Ruskin appointed at the first Slade Professor of Fine Art at Oxford University?
826	John Ruskin's appointment as Oxford's first Slade Professor of Fine Art?	What happened after John Ruskin appointment at the Sheldonian Theatre?
827	John Ruskin's inaugural lecture on his 51st birthday in 1870?	What did John Ruskin do after the inaugural lecture?
828	John Ruskin's art school at Oxford?	Did anything interesting happen at The Ruskin School of Drawing and Fine Art?
829	John Ruskin taught at the school he founded?	Did John Ruskin teach at the Ruskin School of Drawing and Fine Art he founded?
830	Norman Finkelstein's criticism?	What were Norman Finkelstein's criticism?
831	"""everything to do with his political agenda""?"	Which other than Daniel Goldgahen critics does Norman Finkelstein have?
832	a noted Holocaust historian criticize him?	How does Peter Novick criticize Norman Finkelstein?
833	"""trash""?"	Did Norman Finkelstein have any other critics aside from Peter Novick and Daniel Goldhagen?
834	"""trash""?"	What was Omer Bartov critics on Norman Finkelstein?
835	Tablo's 2003-10 Success with Epik High and Pieces of You?	what happened to Tablo in 2003?
836	Tablo's Epik High and Pieces of You produce albums?	did Epik High produce albums?
837	the album Map of the Human Soul by Tablo a success?	was Map of the Human Soul a success?
838	Tablo's album Map of You besides Map of the Human Soul?	did Epik High have another album?
839	Tablo's album High Society have any hit singles?	did High Society have any hit singles?
840	"Tablo's hit single ""Fly""?"	Besides High Society, did Epik High have any other hit albums?
841	the album Swan Songs by Tablo win any awards?	did Swan Songs win any awards?
842	Tablo's fourth album?	did Epik High produce a fourth album?
843	Tablo born?	When was Tablo born?
844	Tablo's birthplace?	Where was Tablo's birthplace?
845	Tablo's parents?	Who were Tablo's parents?
846	Tablo's live in Indonesia?	How long did Tablo live in Indonesia?
847	Tablo do while living in Switzerland?	What did Tablo do while in Switzerland?
848	Tablo's live in Canada?	How long did Tablo live in Canada?
849	Tablo move to Canada?	Where did Tablo move to after Canada?
850	Tablo graduate from Seoul International School?	Did Tablo graduate from Seoul International School?
851	David Hume's academics?	What is most important about Hume's academics?
852	The Principles of Morals?	What were the Principles of Morals in Hume's Book?
853	The Principles of Morals?	Other than Principles of Morals, any other parts of the Morals?
854	a book Hume's wrote?	Was Principles of Morals from a book Hume's wrote?
855	The Principles of Morals what else did David Hume write other than the treaties?	Other than Principles of Morals, What did Hume write?
856	David Hume discuss emotivism?	Does Hume discuss about emotivism?
857	philosophies of ethics?	What are ethics of Hume's theory?
858	Celine Dion, Voice	What can you tell me about Celine Dion's voice?
859	Dion's voice training her voice	How did Celine Dion train her voice?
860	Celine Dion have a unique voice	Does Celine Dion have a unique voice?
861	timbre	What about Celine Dion's timbre?
862	"""thin, slightly nasal"" with a ""raspy"" lower register and ""bell glass-like high notes""?"	"Are there any other interesting aspects about this article, besides that Celine Dion's timbre has been described as ""thin, slightly nasal"" with a ""raspy"" lower register and ""bell glass-like high notes""?"
863	"""Queen of Pop"" for her influence over the record industry during the 1990s, along with other female entertainers?"	"besides Celion Dion, who else has been described as a reigning ""Queen of Pop""?"
864	"""22 Greatest Voices in Music"" by Blender Magazine and MTV?"	"where did Celine Dion place in""22 Greatest Voices in Music"" by Blender Magazine?"
865	"""22 Greatest Voices in Music"" by Blender Magazine and MTV."	What else can you tell me about Celine Dion's voice, aside from that Dion possesses a three-octave range, from B2 to E6.
866	George Mallory in Europe?	when was George Mallory in europe?
867	George Mallory do in Europe?	what did George Mallory do in europe in 1910?
868	George Mallory and a friend successful in their attempt at climbing Mont Velan in the Alps?	were George Mallory and a friend successful in their attempt to climb Mont Velan in the Alps?
869	George Mallory and a friend try again after the summit?	did George Mallory and a friend try again to climb Mont Velan in the Alps?
870	George Mallory climb with anyone?	did George Mallory climb with anyone?
871	George Mallory climb anything else other than Mont Velan in the Alps?	did George Mallory climb anything other than Mont Velan?
872	George Mallory go with anyone in Europe?	did George Mallory go with anyone during ascending of Pillar Rock?
873	George Mallory's climbs?	did George Mallory set any records with his climbs?
874	George Mallory climbs in Europe?	Are there any other interesting aspects other than climbs of George Mallory?
875	George Mallory climbs in Europe?	what was special about Cottie Sanders?
876	the Cottie Sanders romantic relationship with Cottie Sanders?	did George Mallory have a romantic relationship with Cottie Sanders?
877	George Mallory in Asia?	What year(s) was Mallory in Asia?
878	George Mallory climb with in 1921?	Who did George Mallory climb with in 1921?
879	George Mallory climb with in 1921?	Were George Mallory and Mount Everest Committee successful in the climb of North Col of Mount Everest?
880	financed by the Mount Everest Committee?	What else other than that the fact that the expedition produced the first accurate maps of the region around the mountain Everest, can you tell me about the climb by George Mallory, Guy Bullock and E. O. Wheeler?
881	the only climb in Asia?	Was the climb of North Col of Mount Everest by George Mallory and his group the only climb in Asia?
882	the Western Cwm at the foot of the Lhotse face, as well as charting the route of the Rongbuk Glacier?	What year was the expedition of North Col of Mount Everest by George Mallory and his group?
883	the climb to Rongbuk Glacier besides the Western Cwm at the foot of the Lhotse face?	What else other than charting the course of the Rongbuk Glacier happened at Rongbuk Glacier when George Mallory and his group went on an expedition of North Col of Mount Everest?
884	the East Rongbuk Glacier climb on the Tibetan side of the mountain?	Was there other things that George Mallory discovered other than discovering the East Rongbuk Glacier?
885	George Mallory achieved any record climbs in Asia?	Had George Mallory achieved any record climbs?
886	George Mallory fail at any climbs in Asia?	Did George Mallory fail at any climbs?
887	George Mallory's attempt at the summit, besides the second step?	Did George Mallory experience other successes other than the climb of Mount Everest?
888	Plato associated with Socrates?	How was Plato associated with Socrates?
889	Socrates Apology of Socrates?	What was Plato's Apology of Socrates?
890	"""Plato, Socrates"" corrupted?"	How was Plato corrupted?
891	"""Socrates"" dialogue?"	Besides being about Greek philosophy, are there any other interesting aspects about the article on Plato and Socrates?
892	"""Socrates"" philosophies that related to Socrates?"	Aside from Socrates idea of forms, did Aristotle have any other philosophies that related to Socrates?
893	David Vitter's Franken amendment?	What is the Franken amendment?
894	the Franken amendment?	How did Franken amendment proceed?
895	the Franken amendment?	What was interesting about the Franken amendment?
896	if the Franken amendment was unenforceable?	What did Vitter do next?
897	68 to 30?	Who supported the bill?
898	the Franken amendment?	Besides the Republicans and the White House any other supporters or people against the Franken amendment?
899	the Franken amendment considered controversial?	Was Democrats voting for passage considered controversial?
900	the public feel about the Franken amendment?	How did the public feel about Franken amendment?
901	if the amendment was unconstitutional?	In addition to been a bill that would forbid federal contractors from forcing victims of sexual assault, battery and discrimination to submit to binding arbitration anything else notable about the Franken amendment?
902	a town hall affect Vitter political career?	Did the Franken amendment affect Vitter's political career?
903	Sparkle in the Rain?	What is the story of the song Sparkle in the Rain?
904	Sparkle in the Rain win any awards?	Did Sparkle in the Rain win any awards?
905	Sparkle in the article?	In addition to the chart topping song Sparkle in the Rain, is there anything else interesting about the band that recorded it?
906	"""Waterfront"" and ""Up on the Catwalk""?"	Along with the album that contained Sparkle in the Rain, what other successful albums did the band that recorded that song have?
907	"""Waterfront"" and ""Up on the Catwalk""?"	Along with recording chart topping songs, what else did the band that recorded Sparkle in the Rain do?
908	Kenny Dalglish play with Liverpool?	When did Kenny Dalglish play with Liverpool?
909	the team do in under Dalglish?	How did the Liverpool do in under Kenny Dalglish?
910	Kenny Dalglish come back for the 86-87 team?	Did Kenny Dalglish come back for the 86-87 Liverpool team?
911	Kenny Dalglish sign?	Who did Kenny Dalglish sign before the 1987-88 season?
912	winger John Aldridge play well with the new players?	Did the Liverpool play well with Peter Beardsley and John Barnes?
913	shaped by Dalglish win the championship?	Did Liverpool win the championship in the 1987-88 season?
914	the 88-89 season?	Did Kenny Dalglish return for the 88-89 season?
915	re-sign new players before the season?	Did Liverpool sign new players before the 88-89 season?
916	the 88-89 season?	Other than the 1987-88 season and the 88-89 season, were there any other highlights for Kenny Dalglish?
917	Kenny Dalglish resigned?	What did Kenny Dalglish do after he resigned with Liverpool in 1991?
918	Robin Cook became foreign secretary?	When did Robin Cook become foreign secretary?
919	Robin Cook do as foreign secretary?	what did Robin Cook do as foreign secretary?
920	Chancellor of the Exchequer?	did Robin Cook help in any changes while in his position as foreign secretary?
921	scepticism?	was Robin Cook successful in helping in any changes while in his position as foreign secretary?
922	credited to resolve the eight year impasse over the Pan Am Flight 103 bombing?	In addition to the helping resolving the impadsse with the Pan Am Flight 103 bombing are there any other interesting aspects about this article?
923	Arvydas Sabonis was Soviet national team?	When did Arvydas Sabonis join the Soviet national team?
924	Arvydas Sabonis join the Soviet national team?	How did Arvydas Sabonis join the Soviet national team?
925	Arvydas Sabonis on the Soviet national team?	How long was Arvydas Sabonis on the Soviet national team?
926	Arvydas Sabonis win awards during his career?	Did Arvydas Sabonis win awards during his career?
927	Arvydas Sabonis ever play with any famous people?	Did Arvydas Sabonis ever play with any famous people?
928	Arvydas Sabonis married?	Is Arvydas Sabonis married?
929	Arvydas Sabonis have children?	Do Sabonis and Mikelionyte have children?
930	Arvydas Sabonis have any hobbies?	Does Sabonis have any hobbies?
931	Arvydas Sabonis?	Along with sabonis personal life, is there anything else I should know about him?
932	Arvydas Sabonis recover from a heart attack?	Did Sabonis recover?
933	Revolver (Beatles album) background?	What was the Beatles album Revolver's background?
934	the Beatles' Rubber Soul album do?	How did the Beatles album Revolver do?
935	the Beatles' Rubber Soul album best award?	What was the Beatles album Revolver's best award?
936	the most important fact stated in this article about Revolver?	What is the most important fact stated in this article about the Beatles album Revolver?
937	the album Revolver (Beatles album)?	"Are there any other interesting aspects about this article about the Beatles album Revolver other than music journalist Carol Clerk's description of the album as having been ""decisively informed by acid"", following John Lennon and George Harrison's continued experimentation with the drug LSD?"
938	Paul McCartney refusing to try LSD?	Why did Paul McCartney refuse to try LSD despite his bandmates' urging, after Ringo Starr had also partaken of the drug?
939	Paul McCartney do after refusing to try LSD?	What did Paul McCartney do after refusing to try LSD?
940	Hank Snow fall on hard times?	Did Hank Snow fall on hard times?
941	Hank Snow rejected?	Why was Hank Snow rejected from Halifax radio station CHNS?
942	Hank Snow face?	Aside from the rejection, what other obstacles did Hank Snow face?
943	Hank Snow do after being rejected?	What did Hank Snow do after being rejected by Halifax radio station CHNS?
944	Hank Snow's Saturday show popular?	"Was the show ""Clarence Snow and his Guitar"" popular?"
945	Hank Snow leave the Saturday evening show?	"Did Hank Snow leave the show ""Clarence Snow and his Guitar?"
946	The Holocaust project?	What was the Holocaust project?
947	The Holocaust Project all about?	What was The Holocaust Project about?
948	the The Holocaust Project?	Did Judy Chicago receive any recognition for The Holocaust Project?
949	The Holocaust Project help with Judy Chicago's husband?	How Judy Chicago's husband help with The Holocaust Project?
950	The Holocaust Project was included in the article?	How many victims were included in The Holocaust Project?
951	Leonardo da Vinci have a family?	Did Leonardo da Vinci have a family?
952	Leonardo da Vinci personal life.	Tell me about Leonardo da Vinci's personal life.
953	Leonardo da Vinci's pupils?	Who were Leonardo da Vinci's pupils?
954	Leonardo da Vinci's pupils?	Was Leonardo da Vinci close to his pupils?
955	Leonardo da Vinci close with anyone else other than his pupils Salai and Melzi. Melzi?	Aside from his pupils, was Leonardo da Vinci close with anyone else?
956	Leonardo da Vinci's personality like?	What was Leonardo da Vinci's personality like?
957	Leonardo da Vinci have friends?	Did Leonardo da Vinci have friends?
958	Leonardo da Vinci's closest friends?	Who were some of Leonardo da Vinci's closest friends?
959	Leonardo da Vinci have any hobbies?	Did Leonardo da Vinci have any hobbies?
960	Leonardo da Vinci's friends?	What kind of birds did Leonardo da Vinci purchase and release?
961	Mark Felt start at the FBI	When did Mark start at the FBI
962	Mark Felt's early career?	What was Felt's early career?
963	Felt end up with in washington?	when did felt end up with in washington
964	nixon	did felt work for nixon
965	Mark Felt contact with Woodward?	who is woodward?
966	Mark Felt contact Woodward?	how did Mark Felt contact Woodward?
967	Felt contact Woodward?	what was the watergate story?
968	the watergate story D?	What kind of relationship D
969	Kasabian's Velociraptor album?	What were some songs on Kasabian's Velociraptor album?
970	Kasabian have any successful songs on the Velociraptor album?	Did Kasabian have any successful songs on their album, Velociraptor?
971	"""Switchblade Smiles"", what other popular songs did Kasabian release besides ""Switchblade Smiles""?"	"Aside from ""Switchblade Smiles"" from the Velociraptor album, what other popular songs did Kasabian release?"
972	"""Days Are Forgotten"" popular with critics and/or fans?"	Was Kasabian's album Velociraptor popular with critics and/or fans?
973	"the album ""Days Are Forgotten"" by Kasabian in the United States?"	did Kasabian perform anywhere?
974	the Velociraptor! album in England or Europe?	Did Kasabian perform elsewhere in England or Europe?
975	the UK festival T in the Park, are there any other interesting aspects about this article?	Aside from Kasabian's Velociraptor album, are there any other interesting aspects about this article?
976	the Reading and Leeds Festivals on 24 and 25 August 2012?	Did anything unusually significant happen during any of Kasabian's performances?
977	José Limón's first job mentioned here?	What was Limón's first job mentioned here?
978	José Limón's dance Etude in D Minor used in a broadway show?	Was Etude in D Minor used in a broadway show?
979	a duet with Letitia Ide. lead to another choreographing job?	Did Etude in D Minor lead to another choreographing job?
980	"""Etude in D Minor""?"	Did Limón achieve some notice in two more Broadway appearances?
981	José Limón's musical revue Americana and in Irving Berlin's As Thousands Cheer?	Aside from hir Broadway appearance are there any other interesting aspects about this article?
982	José Limón do as a Bennington Fellow?	What did Limon do as a Bennington Fellow?
983	The Bennington Festival work?	What was Danzas Mexicanas?
984	titled Danzas Mexicanas when he returned to Broadway?	What play was Limon in when he returned to Broadway?
985	The Black Eyed Peas record a new album in 2015?	Did The Black Eyed Peas record a new album in 2015?
986	The Black Eyed Peas toured during 2015-present?	Have The Black Eyed Peas toured during 2015?
987	The Black Eyed Peas still in the band?	Are all the original members still in the band?
988	The Black Eyed Peas' 2017-present: 20th anniversary, are there any other interesting aspects about this article?	Besides will.i.am confirming Fergie's departure from The Black Eyed Peas are there any other interesting aspects about this article?
989	a special event for the Black Eyed Peas' 20th Anniversary?	Did The Black Eyed Peas do a special event for their 20th Anniversary?
990	"the Black Eyed Peas' song ""Yesterday"" through Apple Music"" become a hit song?"	Has Yesterday become a hit song?
991	the Black Eyed Peas still performing on her own?	Is Fergie still performing on her own?
992	The Black Eyed Peas recorded any songs without Fergie?	Have The Black Eyed Peas recorded any songs without Fergie?
993	The Black Eyed Peas angry that Fergie went out on her own?	Is the rest of The Black Eyed Peas angry that Fergie went out on her own?
994	Frederick Russell Burnham do in WWI?	What did Frederick Russell Burnham do in WWI?
995	a volunteer infantry division?	how did Frederick Russell Burnham raise the division?
996	a volunteer infantry division do?	what did Frederick Russell Burnham's volunteer infantry division do?
997	Frederick Russell Burnham do in WWI besides raising the general organization and recruiting division?	what else did Frederick Russell Burnham do in WWI, aside from raise a volunteer infantry division?
998	a volunteer infantry division?	Why were Burnham and Duquesne were each under orders to assassinate each other?
999	Sandy Koufax's 1962 season?	What was significant about 1962?
